time,prcp,temp,tempmax,tempmin,hurs,rsds,gradient
2019-09-23,0.0,7.336426,14.9383545,-2.0518188,23.866905,273.71698,-0.0053935824
2019-09-24,0.0,8.42038,16.259705,-1.1659241,26.279737,270.84583,-0.0053935824
2019-09-25,0.0,9.357574,17.814148,0.19699097,29.863071,263.43704,-0.0053935824
2019-09-26,0.0,9.4122925,15.486237,1.9661865,40.46534,252.06729,-0.0053935824
2019-09-27,0.0,8.491974,14.890167,1.0159302,42.628242,251.65262,-0.0053935824
2019-09-28,0.0,8.174713,14.404907,0.5697937,38.224632,243.6909,-0.0053935824
2019-09-29,0.0,6.5368958,11.292084,0.92108154,61.676025,215.3428,-0.0053935824
2019-09-30,0.0,5.9093018,11.689423,0.5821533,62.765144,221.8223,-0.0053935824
2019-10-01,0.0,9.814514,14.12796,5.547882,61.536762,207.97896,-0.0060653146
2019-10-02,0.0,7.748596,12.90271,2.3051147,66.86457,234.76079,-0.0060653146
2019-10-03,0.0,7.3038025,12.238617,1.8241882,65.13181,237.03893,-0.0060653146
2019-10-04,0.0,6.549286,8.425659,4.682617,79.5035,177.44669,-0.0060653146
2019-10-05,0.0,6.878784,10.993713,1.5162964,63.762203,229.27234,-0.0060653146
2019-10-06,0.0,7.072876,11.2951355,1.0517578,66.12706,223.94072,-0.0060653146
2019-10-07,0.0,7.3167114,11.383514,5.126709,79.0818,204.6206,-0.0060653146
2019-10-08,0.0,4.9474792,9.309509,-0.08786011,73.26284,230.41687,-0.0060653146
2019-10-09,0.0,1.9777832,7.552643,-4.679718,75.68876,210.51917,-0.0060653146
2019-10-10,0.0,-0.07354736,7.3320923,-8.872284,72.24298,231.04927,-0.0060653146
2019-10-11,0.0,-0.08847046,7.651886,-8.815887,66.14191,248.7317,-0.0060653146
2019-10-12,0.0,0.051727295,8.077789,-6.9279175,71.59466,242.46605,-0.0060653146
2019-10-13,0.0,-0.037719727,7.7572327,-7.883087,62.42069,247.03647,-0.0060653146
2019-10-14,0.0,0.820343,9.369293,-7.235565,51.96756,254.9555,-0.0060653146
2019-10-15,0.0,2.0755005,9.253143,-6.354431,46.507954,250.5869,-0.0060653146
2019-10-16,0.0,3.0868835,10.806915,-4.9365234,44.423916,249.70317,-0.0060653146
2019-10-17,0.0,4.34552,10.71283,-2.2774353,52.165207,229.31308,-0.0060653146
2019-10-18,0.0,2.8052673,6.902832,-1.6140137,68.129684,204.36746,-0.0060653146
2019-10-19,0.0,2.055542,7.6038513,-4.0227356,70.27859,195.12564,-0.0060653146
2019-10-20,0.0,0.36273193,6.126007,-4.331024,65.66482,196.56427,-0.0060653146
2019-10-21,0.0,0.17770386,5.7178345,-5.1930847,67.959694,201.98083,-0.0060653146
2019-10-22,0.0,1.155365,7.215027,-4.8182983,60.157303,211.28624,-0.0060653146
2019-10-23,0.0,1.9254456,7.6842957,-4.1788635,61.002968,190.77512,-0.0060653146
2019-10-24,0.0,0.036315918,6.0062866,-6.1855774,67.054474,191.78061,-0.0060653146
2019-10-25,0.0,-0.19897461,5.2804565,-5.1582947,70.56146,196.7564,-0.0060653146
2019-10-26,0.0,-1.4686279,4.4902954,-8.445007,71.71553,191.4804,-0.0060653146
2019-10-27,0.0,-2.813507,4.8158264,-9.398865,69.41281,217.74498,-0.0060653146
2019-10-28,0.0,-0.92422485,6.9581604,-8.493439,70.31351,210.0318,-0.0060653146
2019-10-29,0.0,-1.5440674,6.2895813,-7.008728,74.15331,206.46603,-0.0060653146
